,teamId,participantId,champion,role,lane,spell1,spell2,item1,item2,item3,item4,item5,item6,item7,win,kills,deaths,assists,largestKillingSpree,killingSprees,largestMultiKill,doubleKills,tripleKills,quadraKills,pentaKills,longestTimeSpentLiving,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,visionScore,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,primaryKeystone,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,championName,summonerSpell1,summonerSpell2,team,keystone,item-1,item-2,item-3,item-4,item-5,item-6,item-7
{'summonerName': 'Soapreme'},200,7,75,SOLO,TOP,7,6,3078,3075,3105,3133,3009,1053,3340,True,5,5,18,4,1,1,0,0,0,0,595,143060,35722,104618,2720,32,23943,8678,14562,702,28773,10819,16987,966,12496,11783,1,0,166,8,8,0,17,2,0,32,13,7,False,False,False,False,8360,"{'10-20': 7.2, '0-10': 4.5, '20-30': 3.7}","{'10-20': 568.5, '0-10': 360.7, '20-30': 566.3}","{'10-20': 440.5, '0-10': 229.79999999999998, '20-30': 396.4}",Nasus,Heal,Ghost,Red,Unsealed Spellbook,Trinity Force,Thornmail,Aegis of the Legion,Caulfield's Warhammer,Boots of Swiftness,Vampiric Scepter,Warding Totem (Trinket)
{'summonerName': 'i t n o l'},200,8,64,NONE,JUNGLE,11,4,3026,3155,3133,3111,1400,3179,3340,True,10,4,10,6,2,2,1,0,0,0,722,141623,25861,105214,10548,0,11928,2057,9631,240,24715,7817,16652,245,12776,11775,1,0,34,128,66,11,16,4,0,64,26,13,False,False,False,False,8010,"{'10-20': 0.30000000000000004, '0-10': 0.2, '20-30': 2.7}","{'10-20': 451.1, '0-10': 285.2, '20-30': 628.1}","{'10-20': 400.20000000000005, '0-10': 231.60000000000002, '20-30': 455.2}",LeeSin,Smite,Flash,Red,Conqueror,Guardian Angel,Hexdrinker,Caulfield's Warhammer,Mercury's Treads,Enchantment: Warrior,Umbral Glaive,Warding Totem (Trinket)
{'summonerName': 'Thebri'},200,9,21,DUO_CARRY,BOTTOM,4,7,1055,3508,3031,3006,3094,3035,3363,True,8,6,7,3,2,2,2,0,0,0,520,213886,5037,197337,11511,1090,27663,1714,25203,746,18187,9330,8559,297,14317,12950,2,0,232,42,19,14,16,0,0,17,7,1,False,False,False,False,8005,"{'10-20': 8.899999999999999, '0-10': 7.7, '20-30': 4.5}","{'10-20': 469.6, '0-10': 347, '20-30': 561.3}","{'10-20': 378.1, '0-10': 332.5, '20-30': 537}",MissFortune,Flash,Heal,Red,Press the Attack,Doran's Blade,Essence Reaver,Infinity Edge,Berserker's Greaves,Rapid Firecannon,Last Whisper,Farsight Alteration
{'summonerName': 'MonkeyKingFiesta'},200,10,111,DUO_SUPPORT,BOTTOM,4,14,3193,3860,1033,3047,3742,0,3364,True,1,7,10,0,0,1,0,0,0,0,470,30923,12575,7904,10444,0,7725,4966,2089,670,21974,10667,10440,867,7728,7410,0,0,29,0,0,0,13,0,0,45,26,1,False,False,False,False,8439,"{'10-20': 1.2, '0-10': 1.2, '20-30': 0.3}","{'10-20': 305.4, '0-10': 232, '20-30': 394.5}","{'10-20': 224.4, '0-10': 171.9, '20-30': 247.60000000000002}",Nautilus,Flash,Ignite,Red,Aftershock,Gargoyle Stoneplate,Bulwark of the Mountain,Null-Magic Mantle,Ninja Tabi,Dead Man's Plate,N/A,Oracle Lens
{'summonerName': 'Androssî Zahard'},100,1,875,NONE,JUNGLE,12,4,3076,3153,3047,3071,3091,1028,3340,True,6,4,9,2,2,1,0,0,0,0,566,189904,5898,170564,13441,11,21957,1411,18767,1778,22419,7143,14677,598,14022,12475,4,0,222,37,16,13,17,3,0,17,11,0,True,False,False,False,8010,"{'10-20': 7.8, '0-10': 7.5, '20-30': 6.4}","{'10-20': 619.3, '0-10': 419.1, '20-30': 620.8}","{'10-20': 476.4, '0-10': 353.79999999999995, '20-30': 430}",Sett,Teleport,Flash,Blue,Conqueror,Bramble Vest,Blade of the Ruined King,Ninja Tabi,Black Cleaver,Wit's End,Ruby Crystal,Warding Totem (Trinket)
{'summonerName': 'dOvVSusie'},100,2,61,SOLO,MIDDLE,4,12,3157,1058,3285,3020,1056,1082,3340,True,9,4,18,7,1,2,1,0,0,0,476,153874,137037,15695,1142,0,25570,23882,1467,220,15091,8977,6082,32,13093,9650,0,0,183,12,0,12,17,2,0,25,12,2,False,False,False,False,8229,"{'10-20': 4.6, '0-10': 7.8, '20-30': 5.4}","{'10-20': 485.29999999999995, '0-10': 459.7, '20-30': 628}","{'10-20': 452.6, '0-10': 259.2, '20-30': 474.8}",Orianna,Flash,Teleport,Blue,Arcane Comet,Zhonya's Hourglass,Needlessly Large Rod,Luden's Echo,Sorcerer's Shoes,Doran's Ring,Dark Seal,Warding Totem (Trinket)
{'summonerName': 'A Sea Turtle'},100,3,53,DUO_SUPPORT,BOTTOM,14,4,3024,3190,2055,3117,3109,3857,3364,True,3,1,18,2,1,1,0,0,0,0,614,31593,10570,14209,6813,0,10117,5831,3658,628,15968,5652,8443,1871,9556,7750,2,0,32,0,0,0,14,10,0,80,31,7,False,False,True,False,8439,"{'10-20': 1.6, '0-10': 1.2, '20-30': 0.4}","{'10-20': 395.5, '0-10': 262.2, '20-30': 471}","{'10-20': 361.70000000000005, '0-10': 218.8, '20-30': 290}",Blitzcrank,Ignite,Flash,Blue,Aftershock,Glacial Shroud,Locket of the Iron Solari,Control Ward,Boots of Mobility,Knight's Vow,Pauldrons of Whiterock,Oracle Lens
{'summonerName': 'kàren'},100,4,134,DUO_CARRY,BOTTOM,7,4,3135,3285,1082,3020,3165,1058,3363,True,10,4,12,5,2,2,1,0,0,0,682,152691,137944,13970,776,0,24290,22939,1200,150,13950,4375,9322,252,13277,12125,1,0,207,20,12,4,15,1,0,32,11,2,False,False,False,True,8112,"{'10-20': 6.6, '0-10': 8.600000000000001, '20-30': 5.5}","{'10-20': 511.9, '0-10': 322.6, '20-30': 509.5}","{'10-20': 497.6, '0-10': 331.1, '20-30': 424.79999999999995}",Syndra,Heal,Flash,Blue,Electrocute,Void Staff,Luden's Echo,Dark Seal,Sorcerer's Shoes,Morellonomicon,Needlessly Large Rod,Farsight Alteration
{'summonerName': 'Halmimem'},100,5,106,NONE,JUNGLE,11,4,3193,1401,3078,3052,1028,3009,3364,True,11,2,11,7,2,3,2,1,0,0,670,197767,84894,99730,13142,0,19566,3732,14256,1578,32499,9023,23001,474,13521,11458,0,1,6,175,124,16,16,1,0,20,8,1,False,False,False,False,8005,"{'10-20': 0.5, '0-10': 0, '20-30': 0}","{'10-20': 525.2, '0-10': 341.29999999999995, '20-30': 587.1}","{'10-20': 493, '0-10': 271.5, '20-30': 444.3}",Volibear,Smite,Flash,Blue,Press the Attack,Gargoyle Stoneplate,Enchantment: Cinderhulk,Trinity Force,Jaurim's Fist,Ruby Crystal,Boots of Swiftness,Oracle Lens
{'summonerName': 'ìrelia'},200,6,268,SOLO,MIDDLE,12,4,3089,3157,3115,1057,3020,0,3363,False,4,7,2,2,1,1,0,0,0,0,762,170966,157186,6329,7450,0,20606,18995,1231,380,23077,12144,9937,995,12154,12370,2,0,235,0,0,0,16,2,0,14,9,2,False,False,False,False,8010,"{'10-20': 8.2, '0-10': 7.199999999999999, '20-30': 7.9}","{'10-20': 563.9, '0-10': 487, '20-30': 470.2}","{'10-20': 504.1, '0-10': 280.2, '20-30': 362.70000000000005}",Azir,Teleport,Flash,Red,Conqueror,Rabadon's Deathcap,Zhonya's Hourglass,Nashor's Tooth,Negatron Cloak,Sorcerer's Shoes,N/A,Farsight Alteration
{'summonerName': 'Rockodecto'},200,7,58,SOLO,TOP,12,4,3067,3153,3071,3211,3047,1055,3364,False,4,9,2,2,1,2,1,0,0,0,466,126133,3590,119131,3411,0,13886,2425,11089,371,36155,15404,19172,1579,10594,10200,0,0,157,28,15,0,14,2,0,38,8,6,False,False,False,False,8010,"{'10-20': 6.1, '0-10': 5.3, '20-30': 4.3}","{'10-20': 473.8, '0-10': 401.4, '20-30': 368.6}","{'10-20': 327.6, '0-10': 282.20000000000005, '20-30': 382}",Renekton,Teleport,Flash,Red,Conqueror,Kindlegem,Blade of the Ruined King,Black Cleaver,Spectre's Cowl,Ninja Tabi,Doran's Blade,Oracle Lens
{'summonerName': '999ColdSpirit'},200,8,120,NONE,JUNGLE,6,11,1037,3052,3078,3111,3076,3065,3364,False,7,5,4,3,2,2,1,0,0,0,630,178226,19679,147145,11401,9,17679,2969,13761,947,41478,13988,26744,744,11715,11208,0,0,28,147,109,8,14,0,0,14,1,2,False,False,False,False,8010,"{'10-20': 0.6, '0-10': 0, '20-30': 1.6}","{'10-20': 524.0999999999999, '0-10': 328.8, '20-30': 370.7}","{'10-20': 467.40000000000003, '0-10': 296.7, '20-30': 290.5}",Hecarim,Ghost,Smite,Red,Conqueror,Pickaxe,Jaurim's Fist,Trinity Force,Mercury's Treads,Bramble Vest,Spirit Visage,Oracle Lens
{'summonerName': 'ShadyL'},200,9,16,DUO_SUPPORT,BOTTOM,21,4,2421,3107,3860,3111,3108,0,3364,False,0,8,6,0,0,0,0,0,0,0,636,17838,8395,3052,6391,0,3748,2025,331,1391,12563,5944,6049,570,6076,5400,0,0,22,4,0,0,11,2,0,41,20,4,False,False,False,False,8214,"{'10-20': 0.8, '0-10': 0.9, '20-30': 0.5}","{'10-20': 278.3, '0-10': 272, '20-30': 202.60000000000002}","{'10-20': 225.7, '0-10': 144.6, '20-30': 175.1}",Soraka,Barrier,Flash,Red,Summon Aery,Broken Stopwatch,Redemption,Bulwark of the Mountain,Mercury's Treads,Fiendish Codex,N/A,Oracle Lens
{'summonerName': 'YukiJudaiiasdzz'},200,10,81,DUO_CARRY,BOTTOM,7,4,0,3144,1055,3025,3042,3158,3363,False,0,10,2,0,0,0,0,0,0,0,425,100939,17931,79694,3313,0,9791,4057,5596,138,20974,12309,8198,466,8706,8700,0,0,173,0,0,0,13,0,0,8,6,1,False,False,False,False,8010,"{'10-20': 5.1, '0-10': 4.9, '20-30': 7.2}","{'10-20': 413.5, '0-10': 256.7, '20-30': 410.3}","{'10-20': 243.8, '0-10': 209.1, '20-30': 350.7}",Ezreal,Heal,Flash,Red,Conqueror,N/A,Bilgewater Cutlass,Doran's Blade,Iceborn Gauntlet,Muramana,Ionian Boots of Lucidity,Farsight Alteration
{'summonerName': 'm0bum'},100,1,18,SOLO,BOTTOM,7,4,3153,3095,3006,2055,1055,3123,3363,False,2,4,4,2,1,1,0,0,0,0,1101,110075,24302,85062,709,522,12631,2170,9891,569,17146,6872,9830,443,9371,9250,0,0,138,28,17,0,13,4,0,26,11,3,False,False,False,False,8005,"{'10-20': 5, '0-10': 6, '20-30': 2.8}","{'10-20': 386.8, '0-10': 274, '20-30': 382.6}","{'10-20': 301.7, '0-10': 238.39999999999998, '20-30': 335.6}",Tristana,Heal,Flash,Blue,Press the Attack,Blade of the Ruined King,Stormrazor,Berserker's Greaves,Control Ward,Doran's Blade,Executioner's Calling,Farsight Alteration
{'summonerName': ' Samsara1916'},100,2,420,SOLO,TOP,4,12,2033,3111,3071,3812,3123,3052,3340,False,3,9,2,2,1,1,0,0,0,0,496,172616,266,168935,3414,0,26146,225,25357,564,29104,13208,14333,1562,10896,10275,2,0,199,4,0,0,15,1,0,16,8,1,False,False,False,False,8010,"{'10-20': 7, '0-10': 6.699999999999999, '20-30': 6.199999999999999}","{'10-20': 447.1, '0-10': 424.3, '20-30': 559.7}","{'10-20': 333, '0-10': 269.6, '20-30': 425.5}",Illaoi,Flash,Teleport,Blue,Conqueror,Corrupting Potion,Mercury's Treads,Black Cleaver,Death's Dance,Executioner's Calling,Jaurim's Fist,Warding Totem (Trinket)
{'summonerName': 'GLV Demon'},100,3,48,NONE,JUNGLE,11,4,3065,3109,0,0,1401,3111,3364,False,4,7,5,3,1,3,1,1,0,0,344,119933,31801,77302,10829,0,11991,3583,7143,1263,44373,14915,27572,1884,9543,9200,0,0,15,109,73,8,13,6,0,25,11,4,False,False,False,False,8005,"{'10-20': 1.3, '0-10': 0, '20-30': 0.2}","{'10-20': 512.1, '0-10': 248.1, '20-30': 295.4}","{'10-20': 438.79999999999995, '0-10': 214, '20-30': 240.10000000000002}",Trundle,Smite,Flash,Blue,Press the Attack,Spirit Visage,Knight's Vow,N/A,N/A,Enchantment: Cinderhulk,Mercury's Treads,Oracle Lens
{'summonerName': 'ItsCøronaTime'},100,4,350,DUO_SUPPORT,MIDDLE,14,3,3851,2003,3174,3041,3801,3114,3364,False,0,5,10,0,0,0,0,0,0,0,774,8005,6313,447,1244,0,6616,5280,90,1244,7759,3343,4279,135,6479,5525,0,0,1,0,0,0,12,1,0,17,8,0,False,False,False,False,8214,"{'10-20': 0.1, '0-10': 0, '20-30': 0}","{'10-20': 345.1, '0-10': 274, '20-30': 284}","{'10-20': 232.29999999999998, '0-10': 130.8, '20-30': 220.2}",Yuumi,Ignite,Exhaust,Blue,Summon Aery,Frostfang,Health Potion,Athene's Unholy Grail,Mejai's Soulstealer,Crystalline Bracer,Forbidden Idol,Oracle Lens
{'summonerName': 'TheOriginalTR'},100,5,69,DUO_CARRY,MIDDLE,3,4,3040,3165,2055,3151,1082,3116,3363,False,11,9,5,5,3,2,1,0,0,0,382,141982,130949,9603,1429,0,34284,31990,1215,1079,34952,18261,15474,1215,13741,13250,1,0,154,20,5,1,14,4,0,19,10,3,False,False,False,False,8010,"{'10-20': 6.5, '0-10': 5, '20-30': 3.9}","{'10-20': 467.4, '0-10': 358.9, '20-30': 448.2}","{'10-20': 559, '0-10': 315.20000000000005, '20-30': 438.5}",Cassiopeia,Exhaust,Flash,Blue,Conqueror,Seraph's Embrace,Morellonomicon,Control Ward,Liandry's Torment,Dark Seal,Rylai's Crystal Scepter,Farsight Alteration
{'summonerName': 'Ranger Dopa'},200,6,57,SOLO,TOP,4,12,3068,3065,2033,3047,3001,1029,3340,True,9,4,12,3,3,1,0,0,0,0,490,120071,98817,17916,3338,0,25829,20761,4190,878,37108,11101,24839,1168,12353,10600,2,0,134,6,1,4,16,2,0,15,4,2,False,False,True,False,8437,"{'10-20': 5.3, '0-10': 3.9000000000000004, '20-30': 3.9}","{'10-20': 493.40000000000003, '0-10': 444.3, '20-30': 429.70000000000005}","{'10-20': 444.2, '0-10': 302.9, '20-30': 380.2}",Maokai,Flash,Teleport,Red,Grasp of the Undying,Sunfire Cape,Spirit Visage,Corrupting Potion,Ninja Tabi,Abyssal Mask,Cloth Armor,Warding Totem (Trinket)
{'summonerName': 'RobinRobout'},200,7,111,SOLO,BOTTOM,14,4,3860,3109,3800,3117,1028,0,3364,True,1,4,14,0,0,1,0,0,0,0,573,24244,9669,7423,7151,0,10743,6060,2765,1918,15849,5307,10243,297,7237,6825,1,0,24,0,0,0,13,1,0,45,25,1,False,False,False,False,8439,"{'10-20': 1, '0-10': 1.2, '20-30': 0.2}","{'10-20': 371, '0-10': 277.4, '20-30': 397.20000000000005}","{'10-20': 204.8, '0-10': 161.7, '20-30': 268.2}",Nautilus,Ignite,Flash,Red,Aftershock,Bulwark of the Mountain,Knight's Vow,Righteous Glory,Boots of Mobility,Ruby Crystal,N/A,Oracle Lens
{'summonerName': 'iEndDreams'},200,8,145,DUO,MIDDLE,7,4,3115,3123,3042,3006,3124,1058,3340,True,9,2,7,8,1,3,2,1,0,0,922,169472,20156,144091,5224,0,23567,7603,15460,502,13372,6969,6325,78,13734,12200,2,1,218,6,0,2,14,0,0,15,7,3,True,False,False,False,9923,"{'10-20': 7.8, '0-10': 7.2, '20-30': 5.5}","{'10-20': 367.7, '0-10': 273.70000000000005, '20-30': 510.09999999999997}","{'10-20': 365.9, '0-10': 296.29999999999995, '20-30': 501.6}",Kaisa,Heal,Flash,Red,Hail of Blades,Nashor's Tooth,Executioner's Calling,Muramana,Berserker's Greaves,Guinsoo's Rageblade,Needlessly Large Rod,Warding Totem (Trinket)
{'summonerName': 'ìrelia'},200,9,268,DUO,MIDDLE,12,4,1056,3115,3020,0,3165,1026,3340,True,3,5,14,0,0,1,0,0,0,0,616,129976,126690,2892,393,0,19395,18714,286,393,16821,8808,7739,274,10706,8785,3,0,164,24,16,4,15,1,0,28,9,7,False,False,False,False,8010,"{'10-20': 6, '0-10': 5.5, '20-30': 4.1}","{'10-20': 388.4, '0-10': 371.29999999999995, '20-30': 451.70000000000005}","{'10-20': 335.9, '0-10': 271.5, '20-30': 355.1}",Azir,Teleport,Flash,Red,Conqueror,Doran's Ring,Nashor's Tooth,Sorcerer's Shoes,N/A,Morellonomicon,Blasting Wand,Warding Totem (Trinket)
{'summonerName': 'FIight'},200,10,141,NONE,JUNGLE,4,11,3812,3071,1400,3111,3065,0,3364,True,12,6,14,8,2,2,3,0,0,0,508,200733,6567,187633,6533,0,25011,0,23480,1531,39260,14300,20639,4320,15049,13425,0,0,33,152,104,24,16,2,0,22,8,4,False,False,False,False,8010,"{'10-20': 0.8, '0-10': 0.3, '20-30': 1.7999999999999998}","{'10-20': 556.3, '0-10': 325.8, '20-30': 507.6}","{'10-20': 503.70000000000005, '0-10': 340.6, '20-30': 523.8}",Kayn,Flash,Smite,Red,Conqueror,Death's Dance,Black Cleaver,Enchantment: Warrior,Mercury's Treads,Spirit Visage,N/A,Oracle Lens
{'summonerName': 'WinterRain'},100,1,86,DUO_SUPPORT,MIDDLE,14,4,1054,3078,3047,3046,3742,3123,3364,False,7,5,3,5,1,1,0,0,0,0,790,133398,474,124410,8513,544,17461,93,12028,5338,25487,6920,17259,1308,12318,11633,3,0,179,8,8,0,16,0,0,14,8,1,False,False,True,False,8010,"{'10-20': 8.6, '0-10': 6.199999999999999}","{'10-20': 659.5, '0-10': 446.1}","{'10-20': 567.9000000000001, '0-10': 300.8}",Garen,Ignite,Flash,Blue,Conqueror,Doran's Shield,Trinity Force,Ninja Tabi,Phantom Dancer,Dead Man's Plate,Executioner's Calling,Oracle Lens
{'summonerName': 'pinkjelly'},100,2,4,DUO,MIDDLE,4,12,2033,3027,3157,3047,3100,1058,3363,False,8,6,5,4,2,1,0,0,0,0,681,138357,121226,14081,3049,0,16448,13919,1509,1020,21857,9676,11642,538,12619,11300,0,0,172,16,12,0,15,0,0,10,8,0,False,False,False,False,8360,"{'10-20': 5.3, '0-10': 7.7}","{'10-20': 436.59999999999997, '0-10': 452}","{'10-20': 501.6, '0-10': 299.6}",TwistedFate,Flash,Teleport,Blue,Unsealed Spellbook,Corrupting Potion,Rod of Ages,Zhonya's Hourglass,Ninja Tabi,Lich Bane,Needlessly Large Rod,Farsight Alteration
{'summonerName': 'oKpPrimo'},100,3,119,DUO_SUPPORT,MIDDLE,4,7,3031,3508,1053,3006,3046,0,3363,False,6,12,9,0,0,2,1,0,0,0,334,141146,0,128183,12963,1113,23117,0,22597,520,31694,9927,21081,686,12085,12250,0,0,118,29,23,0,14,0,0,7,5,0,False,False,False,False,8005,"{'10-20': 6.2, '0-10': 3.7}","{'10-20': 547.5, '0-10': 245.6}","{'10-20': 479.6, '0-10': 291.9}",Draven,Flash,Heal,Blue,Press the Attack,Infinity Edge,Essence Reaver,Vampiric Scepter,Berserker's Greaves,Phantom Dancer,N/A,Farsight Alteration
{'summonerName': 'EmmadBfRdA'},100,4,432,DUO_SUPPORT,MIDDLE,4,14,3859,3009,3109,3742,0,0,3340,False,1,10,13,0,0,1,0,0,0,0,282,24809,14459,5415,4933,0,9753,6423,2773,556,23448,7907,14502,1039,7467,6575,1,0,22,1,1,0,13,1,0,28,16,1,False,False,False,False,8465,"{'10-20': 0.8, '0-10': 0.8}","{'10-20': 289.1, '0-10': 224.8}","{'10-20': 234.70000000000002, '0-10': 153.7}",Bard,Flash,Ignite,Blue,Guardian,Targon's Buckler,Boots of Swiftness,Knight's Vow,Dead Man's Plate,N/A,N/A,Warding Totem (Trinket)
{'summonerName': 'PhoRealTho'},100,5,203,NONE,JUNGLE,11,4,1412,3085,3006,3071,1053,2055,3364,False,8,11,5,3,3,2,1,0,0,0,316,114631,13327,92747,8555,437,18692,1985,15592,1113,30908,9800,20673,434,11260,11020,0,0,45,73,48,9,14,7,0,28,9,7,False,False,False,True,8005,"{'10-20': 1.6, '0-10': 0.6}","{'10-20': 628.2, '0-10': 246.10000000000002}","{'10-20': 544.4000000000001, '0-10': 303.9}",Kindred,Smite,Flash,Blue,Press the Attack,Enchantment: Warrior,Runaan's Hurricane,Berserker's Greaves,Black Cleaver,Vampiric Scepter,Control Ward,Oracle Lens
{'summonerName': 'i drive a subaru'},200,6,92,SOLO,TOP,4,14,3077,3111,3071,3134,3133,1036,3340,True,2,6,1,0,0,1,0,0,0,0,445,168073,0,157387,10686,0,7203,0,6667,536,20867,2407,16580,1880,10728,8125,2,0,193,21,3,6,15,0,0,14,7,0,False,False,False,False,8010,"{'10-20': 7.2, '0-10': 5.6}","{'10-20': 484.79999999999995, '0-10': 429.20000000000005}","{'10-20': 316.9, '0-10': 297.8}",Riven,Flash,Ignite,Red,Conqueror,Tiamat,Mercury's Treads,Black Cleaver,Serrated Dirk,Caulfield's Warhammer,Long Sword,Warding Totem (Trinket)
{'summonerName': 'Mr Foolsheep'},200,7,145,DUO_CARRY,BOTTOM,4,7,1018,3006,3139,3085,3042,3124,3363,True,18,8,15,5,6,2,5,0,0,0,311,214740,39050,170894,4796,600,53251,15114,36047,2090,27536,6527,18644,2364,17221,14050,5,1,210,19,9,3,16,0,0,13,5,0,False,False,False,False,8005,"{'10-20': 7.300000000000001, '0-10': 7.2}","{'10-20': 454.4, '0-10': 306.8}","{'10-20': 617.0999999999999, '0-10': 424.5}",Kaisa,Flash,Heal,Red,Press the Attack,Cloak of Agility,Berserker's Greaves,Mercurial Scimitar,Runaan's Hurricane,Muramana,Guinsoo's Rageblade,Farsight Alteration
{'summonerName': 'Honma Meiko'},200,8,267,DUO_SUPPORT,BOTTOM,14,4,3860,3504,3050,3107,3047,3174,3364,True,6,5,28,3,2,1,0,0,0,0,487,29861,17376,5801,6682,0,11645,9101,1643,901,14210,3334,9191,1684,11639,10500,0,0,26,0,0,0,15,2,0,57,27,0,True,False,False,False,8465,"{'10-20': 1.2999999999999998, '0-10': 1.1}","{'10-20': 425.9, '0-10': 235.5}","{'10-20': 414.9, '0-10': 280.5}",Nami,Ignite,Flash,Red,Guardian,Bulwark of the Mountain,Ardent Censer,Zeke's Convergence,Redemption,Ninja Tabi,Athene's Unholy Grail,Oracle Lens
{'summonerName': 'ìrelia'},200,9,268,SOLO,MIDDLE,12,4,1056,3157,2055,3020,3165,3115,3340,True,5,4,11,3,1,2,1,0,0,0,703,123554,119248,4179,126,0,17406,16884,459,62,21723,5599,14463,1659,11261,10725,0,0,163,14,0,8,15,3,0,20,10,4,False,False,False,False,8010,"{'10-20': 7.1, '0-10': 6.6}","{'10-20': 475.7, '0-10': 412}","{'10-20': 419.29999999999995, '0-10': 325.9}",Azir,Teleport,Flash,Red,Conqueror,Doran's Ring,Zhonya's Hourglass,Control Ward,Sorcerer's Shoes,Morellonomicon,Nashor's Tooth,Warding Totem (Trinket)
{'summonerName': 'FollowSnanderGod'},200,10,107,NONE,JUNGLE,11,4,3047,3077,2420,3147,3179,3814,3364,True,13,7,5,4,3,2,1,0,0,0,684,190603,7280,175649,7674,0,19231,1066,17749,416,31828,9768,21099,960,14358,11625,1,0,36,168,116,21,16,2,0,28,3,9,False,False,False,False,8010,"{'10-20': 0.5, '0-10': 1.5}","{'10-20': 487.20000000000005, '0-10': 372.1}","{'10-20': 423.6, '0-10': 351.6}",Rengar,Smite,Flash,Red,Conqueror,Ninja Tabi,Tiamat,Stopwatch,Duskblade of Draktharr,Umbral Glaive,Edge of Night,Oracle Lens
{'summonerName': 'Bard Iverson'},100,1,201,DUO_SUPPORT,BOTTOM,14,4,3857,3109,3107,2055,3024,3117,3364,True,1,5,19,0,0,1,0,0,0,0,783,34229,9153,6982,18093,0,11178,7363,1770,2045,16804,7753,8726,324,9171,7275,1,0,39,0,0,0,13,11,0,75,37,8,False,False,False,False,8465,"{'10-20': 1.2000000000000002, '0-10': 1.3}","{'10-20': 369.6, '0-10': 275.5}","{'10-20': 332.70000000000005, '0-10': 179.1}",Braum,Ignite,Flash,Blue,Guardian,Pauldrons of Whiterock,Knight's Vow,Redemption,Control Ward,Glacial Shroud,Boots of Mobility,Oracle Lens
{'summonerName': 'wartrim'},100,2,154,NONE,JUNGLE,4,11,1401,3065,3083,3082,3047,2055,3364,True,3,3,18,2,1,1,0,0,0,0,714,173791,141625,23573,8591,0,16861,13381,1200,2279,36144,10441,22259,3442,11653,10400,0,0,38,138,94,9,15,4,0,21,3,4,False,False,False,False,8439,"{'10-20': 1.7000000000000002, '0-10': 0.6}","{'10-20': 631.7, '0-10': 317.4}","{'10-20': 479.20000000000005, '0-10': 291.1}",Zac,Flash,Smite,Blue,Aftershock,Enchantment: Cinderhulk,Spirit Visage,Warmog's Armor,Warden's Mail,Ninja Tabi,Control Ward,Oracle Lens
{'summonerName': 'ElectrcRelxation'},100,3,523,DUO_CARRY,BOTTOM,4,7,1055,3085,3031,3046,3006,3105,3363,True,12,5,7,3,5,3,1,1,0,0,478,155883,2238,145082,8562,589,24117,1115,22521,480,12442,4927,7263,251,14413,11630,6,1,196,14,10,0,15,2,0,28,8,0,False,False,False,False,8010,"{'10-20': 5.3, '0-10': 6.7}","{'10-20': 447.70000000000005, '0-10': 259.3}","{'10-20': 460.79999999999995, '0-10': 305.6}",Aphelios,Flash,Heal,Blue,Conqueror,Doran's Blade,Runaan's Hurricane,Infinity Edge,Phantom Dancer,Berserker's Greaves,Aegis of the Legion,Farsight Alteration
{'summonerName': 'ìrelia'},100,4,268,SOLO,MIDDLE,12,4,1056,3115,3020,3135,0,3165,3340,True,5,5,9,2,2,2,1,0,0,0,507,148223,144971,3126,126,0,22500,22145,229,126,17190,7226,7613,2350,12084,10525,1,0,187,21,8,4,16,3,0,25,11,4,False,False,False,False,8010,"{'10-20': 4.800000000000001, '0-10': 7.199999999999999}","{'10-20': 418.2, '0-10': 435.1}","{'10-20': 383.6, '0-10': 251.60000000000002}",Azir,Teleport,Flash,Blue,Conqueror,Doran's Ring,Nashor's Tooth,Sorcerer's Shoes,Void Staff,N/A,Morellonomicon,Warding Totem (Trinket)
{'summonerName': 'MyItchyPness'},100,5,80,SOLO,TOP,4,12,2033,3111,3153,3123,3071,3155,3340,True,12,8,2,4,3,2,2,0,0,0,329,112367,3238,108264,864,0,22987,1964,20544,478,27659,11916,15345,398,12320,10150,0,0,130,20,16,0,15,2,0,22,11,2,False,False,False,False,8010,"{'10-20': 4, '0-10': 5.3}","{'10-20': 464.79999999999995, '0-10': 352.7}","{'10-20': 526.0999999999999, '0-10': 237.4}",Pantheon,Flash,Teleport,Blue,Conqueror,Corrupting Potion,Mercury's Treads,Blade of the Ruined King,Executioner's Calling,Black Cleaver,Hexdrinker,Warding Totem (Trinket)
